tmdbid,title,revenue, yes, yes, yes
9772,Air Force One,315156409
6072,One Eight Seven,5716080
1669,The Hunt for Red October,200512643
2118,L.A. Confidential,126216940
978,Seven Years in Tibet,131457682
9437,Kiss the Girls,60527873
10351,Wishmaster,15738769
2649,The Game,109423648
14289,Fire Down Below,22000000
10155,U Turn,6682098
2255,Chasing Amy,12021272
28353,How to Be a Player,13960203
9427,The Full Monty,257850122
3597,I Know What You Did Last Summer,125586134
1813,The Devil's Advocate,60984028
12628,Playing God,4000000
33344,The House of Yes,626057
25099,Fast, Cheap & Out of Control,832735
782,Gattaca,12532777
29911,FairyTale: A True Story,14000000
9827,Phantoms,5
10871,Switchback,6482195
14398,Gang Related,5790448
10890,Stripes,85300000
1281,Bean,251212670
12616,One Night Stand,2642983
11975,The Rainmaker,45916769
4995,Boogie Nights,43101594
9281,Witness,68706993
563,Starship Troopers,121214377
19931,The Joy Luck Club,32861136
11815,The Fly,3000000
10215,Sliding Doors,58000000
9823,Mortal Kombat: Annihilation,51376861
37165,The Truman Show,264118201
38904,Mrs. Dalloway,3309421
4824,The Jackal,159330280
9444,Anastasia,139804348
9414,The Man Who Knew Too Little,13801755
8078,Alien: Resurrection,162000000
11831,Amistad,74000000
9574,Flubber,177977226
10371,For Richer or Poorer,31611225
489,Good Will Hunting,225933435
9714,Home Alone 3,79082515
8197,Midnight in the Garden of Good and Evil,25105255
6283,MouseHunt,122417389
4233,Scream 2,172363301
10217,The Sweet Hereafter,3263585
44308,A Price Above Rubies,1081957
597,Titanic,1845034188
714,Tomorrow Never Dies,333011068
9922,The Postman,17626234
547,The Horse Whisperer,186883563
184,Jackie Brown,39673162
14822,Return From Witch Mountain,16393000
115,The Big Lebowski,27739163
9410,Great Expectations,55494066
12538,Senseless,13035599
586,Wag the Dog,64256513
2666,Dark City,27200316
32456,Two Girls and a Guy,2057193
54007,Star Kid,7
9490,Half Baked,17460020
9411,Fallen,981
25719,Shooting Fish,302204
21253,O Que É Isso, Companheiro?,310724
11702,The Replacement Killers,19204929
11568,Blues Brothers 2000,14051384
11003,The Wedding Singer,123
10153,Sphere,13100000
2898,As Good as It Gets,314178011
9558,King of New York,2554476
11808,U.S. Marshals,102367405
21736,Everest,76447420
42807,The Newton Boys,76000000
617,Wild Things,67200000
53092,Niagara, Niagara,168462
40688,Meet the Deedles,4562146
1774,The Big One,720074
2157,Lost in Space,136159423
795,City of Angels,198685114
47881,My Giant,7985929
9469,He Got Game,21567853
16148,Zero Effect,1980338
78149,An Alan Smithee Film: Burn, Hollywood, Burn,45779
10622,一個好人,18814720
9771,Major League: Back to the Minors,3572443
76330,Wild Man Blues,425788
78373,Dancer, Texas Pop. 81,565592
4415,Les Misérables,14096321
8656,Deep Impact,140464664
58680,Woo,8
929,Godzilla,379014294
9452,Bulworth,29202884
1878,Fear and Loathing in Las Vegas,10680275
9844,The Opposite of Sex,5879254
1965,A Perfect Murder,128038368
6068,Six Days Seven Nights,164000000
15037,Can't Hardly Wait,25605015
16162,The Best Man,34573780
37636,High Art,1929168
21334,Bacheha-Ye aseman,900000
33680,Grand Hotel,2594000
37410,Henry Fool,1334786
10674,Mulan,304320254
846,The X Files,189198313
3050,Doctor Dolittle,294456605
1389,Out of Sight,77745568
9464,Buffalo '66,2375097
95,Armageddon,553799566
944,Lethal Weapon 4,285444603
11551,Small Soldiers,54682547
473,π,3221152
544,There's Something About Mary,369884651
887,The Best Years of Our Lives,23650000
34106,You Can't Take It with You,5000000
43266,How Green Was My Valley,6000000
11426,From Here to Eternity,30500000
654,On the Waterfront,9600000
1725,West Side Story,43656822
10633,In the Heat of the Night,27379978
3116,Midnight Cowboy,44785053
39929,Hello Mary Lou: Prom Night II,2683519
1051,The French Connection,41158757
1366,Rocky,117235147
9443,Chariots of Fire,58972904
606,Out of Africa,128499205
380,Rain Man,354825435
403,Driving Miss Daisy,145793296
13820,Repo Man,2300000
13597,Labyrinth,12729917
2108,The Breakfast Club,51525171
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,29999213
10072,A Nightmare on Elm Street 3: Dream Warriors,44793222
10131,A Nightmare on Elm Street 4: The Dream Master,72500000
10160,A Nightmare on Elm Street 5: The Dream Child,22168359
11284,Freddy's Dead: The Final Nightmare,34872033
4488,Friday the 13th,59754601
9725,Friday the 13th Part 2,21722776
9728,Friday the 13th Part 3,36690067
9730,Friday the 13th: The Final Chapter,32
9731,Friday the 13th: A New Beginning,21930418
10225,Friday the 13th Part VI: Jason Lives,19472057
10281,Friday the 13th Part VII: The New Blood,19170001
10283,Friday the 13th Part VIII: Jason Takes Manhattan,14000000
948,Halloween,70000000
11281,Halloween II,25533818
10676,Halloween III: Season of the Witch,14400000
11357,Halloween 4: The Return of Michael Myers,17768757
11361,Halloween 5: The Revenge of Michael Myers,11642254
36599,Prom Night,14796236
10585,Child's Play,44196684
11186,Child's Play 2,35763605
11187,Child's Play 3,20560255
609,Poltergeist,122200000
11133,Poltergeist II: The Other Side,40996665
10306,Poltergeist III,14144000
9552,The Exorcist,441306145
11586,Exorcist II: The Heretic,30749142
11587,The Exorcist III,39024251
941,Lethal Weapon,120207127
942,Lethal Weapon 2,227853986
943,Lethal Weapon 3,321731527
927,Gremlins,153083102
928,Gremlins 2: The New Batch,41482207
9340,The Goonies,61389680
9342,The Mask of Zorro,250288523
19,Metropolis,650422
165,Back to the Future Part II,332000000
196,Back to the Future Part III,244527583
551,The Poseidon Adventure,84563118
3170,Bambi,267447150
346,七人の侍,269061
859,Dangerous Liaisons,34670720
841,Dune,30925690
242,The Godfather: Part III,136766062
1411,The Rapture,1277401
9769,Lolita,1060056
9424,Disturbing Behavior,17507368
857,Saving Private Ryan,481840909
17539,Billy's Hollywood Screen Kiss,2020700
10957,The Black Cauldron,21288692
9570,The Black Hole,35841901
11164,D2: The Mighty Ducks,45610410
24736,A Far Off Place,12890752
10122,Flight of the Navigator,18564613
9994,The Great Mouse Detective,82424789
10439,Hocus Pocus,39514713
11158,Honey I Blew Up the Kid,58662452
9354,Honey, I Shrunk the Kids,222724172
14013,BASEketball,7027290
96196,The Governess,3
10849,The Purple Rose of Cairo,10631333
907,Doctor Zhivago,111721910
5961,Fanny och Alexander,4971340
11974,The 'Burbs,36602000
13155,Return to Oz,11137801
793,Blue Velvet,8551228
35144,The Journey of Natty Gann,2135577
9325,The Jungle Book,205843612
10340,Lady and the Tramp,93600000
10249,The Rocketeer,62000000
10144,The Little Mermaid,211343479
10414,The Mighty Ducks,50752337
10437,The Muppet Christmas Carol,27281507
12230,One Hundred and One Dalmatians,215880014
10693,Peter Pan,29445131
11135,The Rescuers Down Under,27931461
11319,The Rescuers,71215869
10882,Sleeping Beauty,51000000
24808,Something Wicked This Way Comes,5656087
2619,Splash,69821334
97,TRON,33000000
10419,Swing Kids,5632086
11675,Halloween: H20,55041738
6471,The Jerk,73961419
19158,Graveyard Shift,11582891
227,The Outsiders,25697647
87,Indiana Jones and the Temple of Doom,333000000
805,Rosemary's Baby,33395426
11336,The Dead Zone,20766616
9980,Maximum Overdrive,7433663
10823,Children of the Corn,14000000
11497,All Dogs Go to Heaven,27100027
2907,The Addams Family,191502426
9454,EverAfter,65705772
8688,Snake Eyes,103891409
118452,First Love, Last Rites,40542
396,Who's Afraid of Virginia Woolf?,33736689
847,Willow,57269863
14367,Adventures in Babysitting,34368475
11814,Weird Science,38934048
16081,Doctor Dolittle,9000000
11837,Watership Down,3713768
11704,The Secret of NIMH,14665733
11639,The Dark Crystal,40577001
4978,An American Tail,84542002
11976,Legend,15502112
15144,Sixteen Candles,23686027
11522,Pretty in Pink,10103647
11557,St. Elmo's Fire,37800000
141614,Niko 2: Lentäjäveljekset,17000000
37530,House 2: The Second Story,7800000
21661,Air Bud: Golden Receiver,10224116
9320,The Avengers,48522832
33644,How Stella Got Her Groove Back,37672350
34584,Die unendliche Geschichte,20158808
34636,The NeverEnding Story II: The Next Chapter,16283667
77469,Your Friends & Neighbors,4710749
36647,Blade,112601065
146375,De l'autre côté du périph,25109572
4011,Beetlejuice,73326666
5854,Family Plot,7900000
573,Frenzy,12600000
5780,Torn Curtain,13000000
506,Marnie,7000000
157847,Joe,2365467
82703,Mr. Peabody & Sherman,272912430
3682,54,16757163
51942,I Married a Strange Person!,203
46702,Why Do Fools Fall In Love,12413650
10220,Rounders,22921898
431,Cube,501818
22796,Simon Birch,18253415
881,A Few Good Men,243240178
22256,Without Limits,777423
21873,My Bodyguard,22482952
3525,Working Girl,63779477
2321,Married to the Mob,21486757
2028,Say Anything...,20036737
11597,Toys,23278931
47947,Young Doctors in Love,30688860
48311,Parasite,7000000
209350,Le Week-End,2225098
18169,About Last Night...,38702310
11933,Nothing but Trouble,8479793
4478,Indecent Proposal,266614059
2109,Rush Hour,244386864
24746,Six-String Samurai,124494
72987,A Soldier's Daughter Never Cries,1782005
8195,Ronin,41610884
9877,Urban Legend,72527595
24016,The Sheltering Sky,2075084
1091,The Thing,13782838
10403,The Player,21706101
162,Edward Scissorhands,53000000
8916,Antz,171757863
28134,The Impostors,2197921
9429,A Night at the Roxbury,30331165
12159,What Dreams May Come,71485043
27791,Strangeland,631221
10156,History of the World: Part I,31672907
10377,My Cousin Vinny,52929168
4437,2010,40400657
1890,Children of a Lesser God,31853080
177,The Fisher King,41895491
1955,The Elephant Man,26010864
